D:\ML-CB1\Self-Driving-Car\IMG\center_2018_07_17_16_53_40_978.jpg,D:\ML-CB1\Self-Driving-Car\IMG\left_2018_07_17_16_53_40_978.jpg,D:\ML-CB1\Self-Driving-Car\IMG\right_2018_07_17_16_53_40_978.jpg,0,0,0,5.463077
D:\ML-CB1\Self-Driving-Car\IMG\center_2018_07_17_16_53_41_043.jpg,D:\ML-CB1\Self-Driving-Car\IMG\left_2018_07_17_16_53_41_043.jpg,D:\ML-CB1\Self-Driving-Car\IMG\right_2018_07_17_16_53_41_043.jpg,0,0,0,4.877269
D:\ML-CB1\Self-Driving-Car\IMG\center_2018_07_17_16_53_41_113.jpg,D:\ML-CB1\Self-Driving-Car\IMG\left_2018_07_17_16_53_41_113.jpg,D:\ML-CB1\Self-Driving-Car\IMG\right_2018_07_17_16_53_41_113.jpg,0,0,0,4.339202
D:\ML-CB1\Self-Driving-Car\IMG\center_2018_07_17_16_53_41_182.jpg,D:\ML-CB1\Self-Driving-Car\IMG\left_2018_07_17_16_53_41_182.jpg,D:\ML-CB1\Self-Driving-Car\IMG\right_2018_07_17_16_53_41_182.jpg,0,0,0,3.954801
D:\ML-CB1\Self-Driving-Car\IMG\center_2018_07_17_16_53_41_252.jpg,D:\ML-CB1\Self-Driving-Car\IMG\left_2018_07_17_16_53_41_252.jpg,D:\ML-CB1\Self-Driving-Car\IMG\right_2018_07_17_16_53_41_252.jpg,0,0.1771672,0,3.545941
D:\ML-CB1\Self-Driving-Car\IMG\center_2018_07_17_16_53_41_326.jpg,D:\ML-CB1\Self-Driving-Car\IMG\left_2018_07_17_16_53_41_326.jpg,D:\ML-CB1\Self-Driving-Car\IMG\right_2018_07_17_16_53_41_326.jpg,0,0.3718407,0,3.429124
D:\ML-CB1\Self-Driving-Car\IMG\center_2018_07_17_16_53_41_395.jpg,D:\ML-CB1\Self-Driving-Car\IMG\left_2018_07_17_16_53_41_395.jpg,D:\ML-CB1\Self-Driving-Car\IMG\right_2018_07_17_16_53_41_395.jpg,0,0.6059898,0,3.485218
D:\ML-CB1\Self-Driving-Car\IMG\center_2018_07_17_16_53_41_462.jpg,D:\ML-CB1\Self-Driving-Car\IMG\left_2018_07_17_16_53_41_462.jpg,D:\ML-CB1\Self-Driving-Car\IMG\right_2018_07_17_16_53_41_462.jpg,0.1,0.7811633,0,3.655821
D:\ML-CB1\Self-Driving-Car\IMG\center_2018_07_17_16_53_41_533.jpg,D:\ML-CB1\Self-Driving-Car\IMG\left_2018_07_17_16_53_41_533.jpg,D:\ML-CB1\Self-Driving-Car\IMG\right_2018_07_17_16_53_41_533.jpg,0.3,1,0,3.907667
D:\ML-CB1\Self-Driving-Car\IMG\center_2018_07_17_16_53_41_601.jpg,D:\ML-CB1\Self-Driving-Car\IMG\left_2018_07_17_16_53_41_601.jpg,D:\ML-CB1\Self-Driving-Car\IMG\right_2018_07_17_16_53_41_601.jpg,0.45,1,0,4.282457
D:\ML-CB1\Self-Driving-Car\IMG\center_2018_07_17_16_53_41_670.jpg,D:\ML-CB1\Self-Driving-Car\IMG\left_2018_07_17_16_53_41_670.jpg,D:\ML-CB1\Self-Driving-Car\IMG\right_2018_07_17_16_53_41_670.jpg,0.6500001,1,0,4.729204
